;when;super_hero_group;tracking;place;tracking_times;crystal_type;;human_behavior_report;human_measure;crystal_weight;expected_factor_x;previous_factor_x;first_factor_x;expected_final_factor_x;final_factor_x;previous_adamantium;;etherium_before_start;expected_start;start_process;start_subprocess1;start_critical_subprocess1;predicted_process_end;process_end;subprocess1_end;reported_on_tower;opened;chemical_x;raw_kryptonite;argon;pure_seastone;crystal_supergroup;Cycle;groups
0;09/07/2020;D;84921;1;1;group 27;2;3;650;345.2483;1616;1624;1597;1577;1578;0.065;1597;3.07599998;09/07/2020 13:10;09/07/2020 13:08;09/07/2020 13:11;09/07/2020 13:13;09/07/2020 13:41;09/07/2020 13:28;09/07/2020 13:27;09/07/2020 13:37;44021.58091;15.85;693;0;49.51;0;2ª;0
1;09/07/2020;D;84941;1;1;group 56;1;4;700;350.6301;1610;1630.300049;1595;1565;1572;0.0309;1595;;09/07/2020 15:08;09/07/2020 15:11;09/07/2020 15:16;09/07/2020 15:18;09/07/2020 15:49;09/07/2020 15:39;09/07/2020 15:38;09/07/2020 15:53;44021.6737;21.96666667;3570;0;99.94;0;2ª;0
2;09/07/2020;D;84951;1;1;group 56;2;4;800;347.4298;1609;1638.099976;1608;1565;1568;;1608;;09/07/2020 16:15;09/07/2020 16:16;09/07/2020 16:20;09/07/2020 16:22;09/07/2020 16:54;09/07/2020 16:42;09/07/2020 16:41;09/07/2020 16:54;44021.70867;21.16666667;7950;0;91.49;0;2ª;0
3;09/07/2020;D;84971;1;1;group 56;7;3;700;333.1576;1622;1614.099976;1587;1571;1576;0.052;1587;;09/07/2020 18:22;09/07/2020 18:24;09/07/2020 18:31;09/07/2020 18:33;09/07/2020 19:02;09/07/2020 18:47;09/07/2020 18:47;09/07/2020 18:55;09/07/2020 19:02;15.25;807;0;;0;2ª;0
4;09/07/2020;D;84981;1;1;group 27;17;3;700;362.3764;1620;1618.199951;1599;1579;1590;0.28;1599;;09/07/2020 19:14;09/07/2020 19:12;09/07/2020 19:16;;09/07/2020 20:13;09/07/2020 19:37;09/07/2020 19:37;09/07/2020 19:47;09/07/2020 20:20;20.56666667;;0;509.19;0;2ª;0
5;09/07/2020;B;84991;1;1;group 56;12;3;720;349.7962;1634;1640.5;1617;1583;1589;0.0406;1617;;09/07/2020 20:59;09/07/2020 20:59;09/07/2020 21:03;09/07/2020 21:04;09/07/2020 21:37;09/07/2020 21:35;09/07/2020 21:35;09/07/2020 21:51;09/07/2020 22:09;32.01666667;1026;0;127.79;0;2ª;0
6;09/07/2020;B;85001;1;1;group 56;1;4;480;351.6399;1614;1632.199951;1601;1566;1573;0.0436;1601;;09/07/2020 21:58;09/07/2020 22:03;09/07/2020 22:12;09/07/2020 22:15;09/07/2020 22:41;09/07/2020 22:34;09/07/2020 22:33;09/07/2020 22:44;09/07/2020 23:03;21.03333333;3924;0;60.18;0;2ª;0
7;09/07/2020;B;85011;1;1;group 56;17;4;650;366.1621;1608;1605.099976;1591;1567;1574;0.0484;1591;;09/07/2020 23:02;09/07/2020 23:02;09/07/2020 23:07;09/07/2020 23:13;09/07/2020 23:40;09/07/2020 23:24;09/07/2020 23:23;09/07/2020 23:34;10/07/2020 00:04;15.85;2052;0;;0;2ª;0
8;09/07/2020;B;85021;1;1;group 56;2;4;540;359.1497;1621;1626;1602;1568;1576;0.063;1602;;09/07/2020 23:51;09/07/2020 23:51;09/07/2020 23:54;09/07/2020 23:56;10/07/2020 00:33;10/07/2020 00:16;10/07/2020 00:16;10/07/2020 00:28;10/07/2020 01:07;21.83333333;3588;0;;0;2ª;0
9;10/07/2020;B;85031;1;1;group 56;7;3;400;353.9597;1626;1631.800049;1613;1572;1582;0.053;1613;;10/07/2020 01:12;10/07/2020 01:09;10/07/2020 01:11;10/07/2020 01:13;10/07/2020 01:50;10/07/2020 01:31;10/07/2020 01:28;10/07/2020 01:41;10/07/2020 02:08;16.48333333;3888;0;;0;2ª;0
10;10/07/2020;B;85071;1;1;group 27;1;3;660;351.3928;1634;1621.400024;1612;1594;1603;0.247;1612;;10/07/2020 04:37;10/07/2020 04:35;10/07/2020 04:36;10/07/2020 04:39;10/07/2020 05:30;10/07/2020 05:06;10/07/2020 05:02;10/07/2020 05:27;10/07/2020 06:00;25.38333333;;120.5554174;627.62;0;2ª;0
11;10/07/2020;B;85081;1;1;group 27;8;3;380;350.0628;1616;1592.900024;1588;1582;1578;0.321;1588;;10/07/2020 05:35;10/07/2020 05:43;10/07/2020 05:46;;10/07/2020 06:22;10/07/2020 06:17;10/07/2020 06:14;10/07/2020 06:33;10/07/2020 06:57;28.26666667;;151.9363641;654.42;0;2ª;0
12;10/07/2020;B;85101;1;1;group 27;6;1;520;327.4321;1645;1649.300049;1623;1591;1598;0.0339;1623;;10/07/2020 07:45;10/07/2020 07:41;10/07/2020 07:43;;10/07/2020 08:12;10/07/2020 08:02;10/07/2020 08:00;10/07/2020 08:10;10/07/2020 08:41;16.81666667;1452;0;104.78;0;2ª;0
13;10/07/2020;D;85111;1;1;group 27;7;4;550;346.9613;1612;1633.599976;1623;1579;1584;;1623;;10/07/2020 08:35;10/07/2020 08:42;10/07/2020 08:47;10/07/2020 08:49;10/07/2020 09:11;10/07/2020 09:12;10/07/2020 09:09;10/07/2020 09:18;10/07/2020 09:37;22.7;5547;0;595.2;0;2ª;0
