index;groups;target
1;0;1.233766234
2;0;2.467532468
3;0;3.701298701
4;0;4.935064935
5;0;6.168831169
6;0;7.402597403
7;0;8.636363636
8;0;9.87012987
9;0;11.1038961
10;0;12.33766234
11;0;13.57142857
12;0;14.80519481
13;0;16.03896104
14;0;17.27272727
15;0;18.50649351
16;0;19.74025974
17;0;20.97402597
18;0;22.20779221
19;0;23.44155844
20;0;24.67532468
21;0;25.90909091
22;0;27.14285714
23;0;28.37662338
24;0;29.61038961
25;0;30.84415584
26;0;32.07792208
27;0;33.31168831
28;0;34.54545455
29;0;35.77922078
30;0;37.01298701
31;0;38.24675325
32;0;39.48051948
33;0;40.71428571
34;0;41.94805195
35;0;43.18181818
36;0;44.41558442
37;0;45.64935065
38;0;46.88311688
39;0;48.11688312
40;0;49.35064935
41;0;50.58441558
42;0;51.81818182
43;0;53.05194805
44;0;54.28571429
45;0;55.51948052
46;0;56.75324675
47;0;57.98701299
48;0;59.22077922
49;0;60.45454545
50;0;61.68831169
51;0;62.92207792
52;0;64.15584416
53;0;65.38961039
54;0;66.62337662
55;0;67.85714286
56;0;69.09090909
57;0;70.32467532
58;0;71.55844156
59;0;72.79220779
60;0;74.02597403
61;0;75.25974026
62;0;76.49350649
63;0;77.72727273
64;0;78.96103896
65;0;80.19480519
66;0;81.42857143
67;0;82.66233766
68;0;83.8961039
69;0;85.12987013
70;0;86.36363636
71;0;87.5974026
72;0;88.83116883
73;0;90.06493506
74;0;91.2987013
75;0;92.53246753
76;0;93.76623377
77;0;95
78;0;96.23376623
79;0;97.46753247
80;0;98.7012987
81;0;99.93506494
82;0;101.1688312
83;0;102.4025974
84;0;103.6363636
85;0;104.8701299
86;0;106.1038961
87;0;107.3376623
88;0;108.5714286
89;0;109.8051948
90;0;111.038961
91;0;112.2727273
92;0;113.5064935
93;0;114.7402597
94;0;115.974026
95;0;117.2077922
96;0;118.4415584
97;0;119.6753247
98;0;120.9090909
99;0;122.1428571
100;0;123.3766234
101;0;124.6103896
102;0;125.8441558
103;0;127.0779221
104;0;128.3116883
105;0;129.5454545
106;0;130.7792208
107;0;132.012987
108;0;133.2467532
109;0;134.4805195
110;0;135.7142857
111;0;136.9480519
112;0;138.1818182
113;0;139.4155844
114;0;140.6493506
115;0;141.8831169
116;0;143.1168831
117;0;144.3506494
118;0;145.5844156
119;0;146.8181818
120;0;148.0519481
121;0;149.2857143
122;0;150.5194805
123;0;151.7532468
124;0;152.987013
125;0;154.2207792
126;0;155.4545455
127;0;156.6883117
128;0;157.9220779
129;0;159.1558442
130;0;160.3896104
131;0;161.6233766
132;0;162.8571429
133;0;164.0909091
134;0;165.3246753
135;0;166.5584416
136;0;167.7922078
137;0;169.025974
138;0;170.2597403
139;0;171.4935065
140;0;172.7272727
141;0;173.961039
142;0;175.1948052
143;0;176.4285714
144;0;177.6623377
145;0;178.8961039
146;0;180.1298701
147;0;181.3636364
148;0;182.5974026
149;0;183.8311688
150;0;185.0649351
151;0;186.2987013
152;0;187.5324675
153;0;188.7662338
154;0;190
0;1;1.140939597
1;1;2.281879195
2;1;3.422818792
3;1;4.563758389
4;1;5.704697987
5;1;6.845637584
6;1;7.986577181
7;1;9.127516779
8;1;10.26845638
9;1;11.40939597
10;1;12.55033557
11;1;13.69127517
12;1;14.83221477
13;1;15.97315436
14;1;17.11409396
15;1;18.25503356
16;1;19.39597315
17;1;20.53691275
18;1;21.67785235
19;1;22.81879195
20;1;23.95973154
21;1;25.10067114
22;1;26.24161074
23;1;27.38255034
24;1;28.52348993
25;1;29.66442953
26;1;30.80536913
27;1;31.94630872
28;1;33.08724832
29;1;34.22818792
30;1;35.36912752
31;1;36.51006711
32;1;37.65100671
33;1;38.79194631
34;1;39.93288591
35;1;41.0738255
36;1;42.2147651
37;1;43.3557047
38;1;44.4966443
39;1;45.63758389
40;1;46.77852349
41;1;47.91946309
